CourseCode,CourseName,Credit,Link,Note
ECE 514,Advanced MEMS Devices and Technologies,['4'],https://atlas.ai.umich.edu/course/ECE%20514/,Prerequisite: EECS 414. (4 credits)
ECE 515,Integrated Microsystems,['4'],https://atlas.ai.umich.edu/course/ECE%20515/,Prerequisite: EECS 414. (4 credits)
ECE 516 (BIOMEDE 516),Medical Imaging Systems,['3'],https://atlas.ai.umich.edu/course/ECE%20516/,Prerequisite: EECS 351. (3 credits)
ECE 517 (NERS 578),Low Temperature Plasmas,['3'],https://atlas.ai.umich.edu/course/ECE%20517/,Advisory Prerequisite: (Physics 240 or Physics 260) and (Math 216 or Math 286 or Math 396). Enforced Prerequisite: None. (3 credits)
ECE 518 (SPACE 595),Magnetosphere and Solar Wind,['3'],https://atlas.ai.umich.edu/course/ECE%20518/,Prerequisite: Graduate standing. (3 credits)
ECE 519 (NERS 575),Plasma Generation and Diagnostics Laboratory,['4'],https://atlas.ai.umich.edu/course/ECE%20519/,Prerequisite: Preceded or accompanied by a course covering electromagnetism. (4 credits)
ECE 520,Solid State Physics,['4'],https://atlas.ai.umich.edu/course/ECE%20520/,Prerequisite: PHYSICS 453 or graduate standing. (4 credits)
ECE 521,Solid State Devices,['3'],https://atlas.ai.umich.edu/course/ECE%20521/,Prerequisite: EECS 421. (3 credits)
EECS 522,Analog Integrated Circuits,['4'],https://atlas.ai.umich.edu/course/EECS%20522/,Prerequisite: EECS 413. (4 credits)
EECS 523,Digital Integrated Technology,['4'],https://atlas.ai.umich.edu/course/EECS%20523/,Prerequisite: (EECS 423 or EECS 425) and EECS 311 and EECS 320. (4 credits)
ECE 524 (APPPHYS 524),Organic Electronic Devices and Applications,['3'],https://atlas.ai.umich.edu/course/ECE%20524/,Prerequisite: Permission of instructor or graduate standing. (3 credits)
ECE 525,Advanced Solid State Microwave Circuits,['3'],https://atlas.ai.umich.edu/course/ECE%20525/,Prerequisite: EECS 411 and (EECS 421 or ECE 521). (3 credits)
ECE 526,Plasmonics,['3'],https://atlas.ai.umich.edu/course/ECE%20526/,"Advisory Prerequisite: EECS 230, PHYSICS 240, graduated standing or permission of instructor. (3 credits) "
ECE 527,Power Semiconductor Devices,['4'],https://atlas.ai.umich.edu/course/ECE%20527/,Prerequisite: EECS 320 or EECS 421 or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (4 credits) 
ECE 528,Principles of Microelectronics Process Technology,['3'],https://atlas.ai.umich.edu/course/ECE%20528/,Prerequisite: EECS 421 and EECS 423. (3 credits)
ECE 529,Semiconductor Lasers and LEDs,['3'],https://atlas.ai.umich.edu/course/ECE%20529/,Prerequisite: EECS 429. (3 credits)
ECE 530 (APPPHYS 530),Electromagnetic Theory I,['3'],https://atlas.ai.umich.edu/course/ECE%20530/,Prerequisite: EECS 330 or Physics 438. (3 credits)
ECE 531,Antenna Theory and Design,['3'],https://atlas.ai.umich.edu/course/ECE%20531/,Prerequisite: EECS 330. (3 credits)
ECE 532 (CLIMATE 587) (SPACE 587),Microwave Remote Sensing I: Radiometry,['3'],https://atlas.ai.umich.edu/course/ECE%20532/,"Prerequisite: EECS 330, graduate standing. (3 credits)"
ECE 533,Microwave Measurements Laboratory,['3'],https://atlas.ai.umich.edu/course/ECE%20533/,"Prerequisite: EECS 330, graduate Standing. (3 credits)"
ECE 534,Analysis of Electric Power Distribution Systems and Loads,['3'],https://atlas.ai.umich.edu/course/ECE%20534/,Advisory Prerequisite: EECS 463 or graduate standing. (3 credits)
ECE 535,Power System Dynamics and Control,['3'],https://atlas.ai.umich.edu/course/ECE%20535/,"Advisory Prerequisite: EECS 463, or permission of instructor or graduate standing. (3 credits)"
ECE 536,Power System Markets & Optimization,['3'],https://atlas.ai.umich.edu/course/ECE%20536/,"Prerequisite: EECS 463, or permission of instructor or graduate standing. Minimum grade requirement of “C” for enforced prerequisites. (3 credits)"
ECE 537 (APPPHYS 537),Classical Optics,['3'],https://atlas.ai.umich.edu/course/ECE%20537/,Prerequisite: EECS 330 and EECS 334. (3 credits)
ECE 538 (APPPHYS 550) (PHYSICS 650),Optical Waves in Crystals,['3'],https://atlas.ai.umich.edu/course/ECE%20538/,Prerequisite: EECS 434. (3 credits)
ECE 539 (APPPHYS 551) (PHYSICS 651),Lasers,['3'],https://atlas.ai.umich.edu/course/ECE%20539/,Prerequisite: ECE 537 and ECE 538 and Graduate Standing. (3 credits)
ECE 540 (APPPHYS 540),Applied Quantum Mechanics I,['3'],https://atlas.ai.umich.edu/course/ECE%20540/,Prerequisite: Permission of instructor. (3 credits)
ECE 541 (APPPHYS 541),Applied Quantum Mechanics II,['3'],https://atlas.ai.umich.edu/course/ECE%20541/,Prerequisite: EECS 540. (3 credits)
EECS 542,Advanced Topics in Computer Vision,['3'],https://atlas.ai.umich.edu/course/EECS%20542/,Advisory Prerequisite: EECS 442 or EECS 504 or permission of instructor. (3 credits)
CSE 543 (ROB 543),Ethics for AI and Robotics,[],https://atlas.ai.umich.edu/course/CSE%20543/,Prerequisite: Graduate standing
ECE 544,Analysis of Societal Networks,[],https://atlas.ai.umich.edu/course/ECE%20544/,Advisory Prerequisite: EECS 301 or MATH 425 or STATS 425 or Graduate standing. Minimum grade requirement of “C” for advised prerequisite. (Credit Exclusions: No credit to a student who has taken EECS 444 and EECS 544
